id,source,title,summary,full_text,link,author,published_date,collected_date,category,sentiment_score,sentiment_label,keywords,companies_mentioned,monitoring_targets,char_count,companies_detected,date,hour,day_of_week,text_length,keyword_count,virality_score,created_at
,Capital FM Kenya,IEBC seeks arrests over ‘voter dumping’ claims at Kenyatta University,The IEBC said voter transfer services are currently offered at constituency offices across the country and not at other locations.,,https://capitalfm.africa/iebc-seeks-arrests-over-voter-dumping-claims-at-kenyatta-university/,CORRESPONDENT,2026-09-10 16:59:34+00:00,2026-09-10T22:19:12.157484,Politics,0.0802,Positive,"voter, commission, registration, voters, slips, polling, arrests, university",,,3006.0,,2026-09-10,16,Thursday,3006.0,8,342.204,2026-09-10 22:34:55.427245+00:00
,Capital FM Kenya,"Omtatah ejected from Senate, barred for three days over Ruto ‘yapping’ remarks","Omtatah protested the Speaker’s directive, arguing that the word was neither unparliamentary nor disrespectful.",,https://capitalfm.africa/omtatah-ejected-from-senate-barred-for-three-days-over-ruto-yapping-remarks/,IRENE MWANGI,2026-09-10 14:33:36+00:00,2026-09-10T22:19:12.161311,Politics,0.0438,Neutral,"omtatah, speaker, kingi, senate, yapping, unparliamentary, senator, remarks",,Kenya Politics,3927.0,,2026-09-10,14,Thursday,3927.0,8,433.576,2026-09-10 22:34:55.427245+00:00
,Capital FM Kenya,Oburu Oginga confirms UK medical check-up after party said he was on official duties,"Oburu said he travelled to the UK to undergo a “thorough, routine medical checkup” following advice from his doctors and the party leadership.",,https://capitalfm.africa/oburu-oginga-confirms-uk-medical-check-up-after-party-said-he-was-on-official-duties/,CORRESPONDENT,2026-09-10 14:05:36+00:00,2026-09-10T22:19:12.164205,Health,0.0879,Positive,"oburu, party, medical, routine, health, check, leadership, statement",,,2620.0,,2026-09-10,14,Thursday,2620.0,8,303.758,2026-09-10 22:34:55.427245+00:00
,Capital FM Kenya,Where should investors put their money? Kenya’s county data offers some surprising answers,New data offers the clearest picture yet of where Kenya's strongest investment ecosystems are — and where the biggest gaps remain.,,https://capitalfm.africa/where-should-investors-put-their-money-kenyas-county-data-offers-some-surprising-answers/,IRENE MWANGI,2026-09-10 12:48:00+00:00,2026-09-10T22:19:12.170545,Health,0.1323,Positive,"nairobi, investment, county, business, counties, kenya, businesses, capital",,,8888.0,,2026-09-10,12,Thursday,8888.0,8,931.446,2026-09-10 22:34:55.427245+00:00
,Capital FM Kenya,1 in 10 Kenyan learners had schooling disrupted by climate hazards in 2025: UNICEF,UNICEF cautions that the figures are conservative because longer-term hazards such as drought are harder to capture.,,https://capitalfm.africa/1-in-10-kenyan-learners-had-schooling-disrupted-by-climate-hazards-in-2025-unicef/,JEREMIAH WAKAYA,2026-09-10 12:00:16+00:00,2026-09-10T22:19:12.174657,Climate & Environment,0.1008,Positive,"million, climate, unicef, schools, hazards, students, drought, disruption",,,2971.0,,2026-09-10,12,Thursday,2971.0,8,339.11600000000004,2026-09-10 22:34:55.427245+00:00
,Capital FM Kenya,Climate hazards disrupted schooling for 171m students in 2025 — UNICEF,"Storms were the most common cause of disruption, affecting 109 million students, followed by floods, which affected at least 70 million.",,https://capitalfm.africa/climate-hazards-disrupted-schooling-for-171m-students-in-2025-unicef/,CORRESPONDENT,2026-09-10 11:37:19+00:00,2026-09-10T22:19:12.178163,Health,0.0839,Positive,"climate, students, million, children, countries, hazards, unicef, education",,,3941.0,,2026-09-10,11,Thursday,3941.0,8,435.778,2026-09-10 22:34:55.427245+00:00
,Capital FM Kenya,Royal family rift after popular TV news presenter chosen to succeed Ugandan king,"Royal clan elders have named popular TV news presenter Prince Edward Rukidi Kijanangoma, 56, as the next monarch.",,https://capitalfm.africa/royal-family-rift-after-popular-tv-news-presenter-chosen-to-succeed-ugandan-king/,BBC,2026-09-10 11:27:23+00:00,2026-09-10T22:19:12.182691,Politics,0.0903,Positive,"royal, uganda, tooro, family, monarch, succession, kijanangoma, prince",,,5621.0,,2026-09-10,11,Thursday,5621.0,8,603.9060000000001,2026-09-10 22:34:55.427245+00:00
,Capital FM Kenya,Why Kenya must stop exporting wealth in raw form,"Kenya's next economic challenge should not simply be to export more, but to capture more value from what it already produces.",,https://capitalfm.africa/why-kenya-must-stop-exporting-wealth-in-raw-form/,IRENE MWANGI,2026-09-10 10:43:47+00:00,2026-09-10T22:19:12.190630,AI & Tech,0.103,Positive,"kenya, value, coffee, processing, packaging, products, kenyan, economic",,,10300.0,,2026-09-10,10,Thursday,10300.0,8,1072.06,2026-09-10 22:34:55.427245+00:00
,Capital FM Kenya,Court to hear US bid to extradite Kenyan convicted of manslaughter,"The ODPP told the court that it had received a request from the United States seeking Kibutu’s extradition after he was convicted in absentia on April 30, 2013.",,https://capitalfm.africa/court-to-hear-us-bid-to-extradite-kenyan-convicted-of-manslaughter/,CORRESPONDENT,2026-09-10 10:12:16+00:00,2026-09-10T22:19:12.194665,General,0.0568,Positive,"extradition, court, kibutu, united, states, convicted, request, application",,,2911.0,,2026-09-10,10,Thursday,2911.0,8,332.23600000000005,2026-09-10 22:34:55.427245+00:00
,Capital FM Kenya,"Trump says every adult American will get $5,000 if Republicans win midterms",The offer was made in a speech at the party's first-ever convention in the middle of a US presidential term.,,https://capitalfm.africa/trump-says-every-adult-american-will-get-5000-if-republicans-win-midterms/,BBC,2026-09-10 10:04:58+00:00,2026-09-10T22:19:12.198096,Politics,0.0869,Positive,"trump, president, convention, american, speech, money, vance, united",,,3733.0,,2026-09-10,10,Thursday,3733.0,8,415.038,2026-09-10 22:34:55.427245+00:00
